timestamp,open,high,low,close,volume
2023-01-0082,2875.36,2890.43,2872.69,2887.76,1665585
2023-01-0083,2861.52,2872.87,2860.25,2871.6,1633574
2023-01-0084,2845.28,2857.49,2840.38,2852.59,1603842
2023-01-0085,2833.6,2845.26,2826.27,2837.93,1576969
2023-01-0086,2831.13,2840.51,2823.16,2832.54,1553482
2023-01-0087,2837.31,2843.96,2829.47,2836.12,1533840
2023-01-0088,2846.65,2850.36,2839.71,2843.42,1518429
2023-01-0089,2852.0,2852.14,2847.32,2847.46,1507549
2023-01-0090,2848.81,2852.77,2839.85,2843.81,1501413
2023-01-0091,2837.89,2844.7,2826.52,2833.33,1500141
2023-01-0092,2824.94,2832.93,2813.68,2821.67,1503758
2023-01-0093,2817.11,2824.32,2808.66,2815.87,1512194
2023-01-0094,2818.73,2824.74,2814.06,2820.07,1525284
2023-01-0095,2828.8,2834.05,2827.81,2833.06,1542771
2023-01-0096,2841.71,2851.89,2838.77,2848.95,1564312
2023-01-0097,2850.72,2866.89,2844.57,2860.74,1589487
2023-01-0098,2852.21,2872.41,2844.36,2864.56,1617804
2023-01-0099,2847.92,2869.58,2840.29,2861.95,1648707
2023-01-0100,2844.01,2864.44,2838.47,2858.9,1681592
2023-01-0101,2847.29,2864.27,2845.19,2862.17,1715815
2023-01-0102,2861.11,2876.95,2859.25,2875.09,1750708
2023-01-0103,2883.25,2900.89,2877.89,2895.53,1785586
2023-01-0104,2907.15,2924.63,2899.6,2917.08,1819769
2023-01-0105,2925.74,2940.77,2917.85,2932.88,1852586
2023-01-0106,2935.53,2945.99,2929.23,2939.69,1883396
2023-01-0107,2938.54,2942.96,2935.37,2939.79,1911595
2023-01-0108,2940.82,2941.56,2938.76,2939.5,1936632
2023-01-0109,2948.61,2953.08,2940.81,2945.28,1958018
2023-01-0110,2964.31,2971.41,2952.62,2959.72,1975332
2023-01-0111,2984.9,2992.9,2971.9,2979.9,1988238
2023-01-0112,3003.58,3010.51,2992.14,2999.07,1996481
2023-01-0113,3013.88,3018.05,3006.53,3010.7,1999902
2023-01-0114,3013.49,3013.88,3011.99,3012.38,1998432
2023-01-0115,3005.68,3010.67,3002.19,3007.18,1992101
2023-01-0116,2997.37,3008.31,2990.86,3001.8,1981033
2023-01-0117,2995.03,3010.37,2987.09,3002.43,1965443
2023-01-0118,3000.81,3018.4,2993.38,3010.97,1945638
2023-01-0119,3011.39,3028.94,3006.3,3023.85,1922005
2023-01-0120,3020.11,3035.72,3018.6,3034.21,1895006
2023-01-0121,3021.09,3038.45,3018.65,3036.01,1865169
2023-01-0122,3012.9,3033.54,3007.11,3027.75,1833079
2023-01-0123,2999.45,3021.09,2991.72,3013.36,1799363
2023-01-0124,2987.7,3007.64,2979.93,2999.87,1764681
2023-01-0125,2983.36,2999.06,2977.45,2993.15,1729712
2023-01-0126,2987.45,2997.04,2984.84,2994.43,1695140
2023-01-0127,2995.57,3000.9,2994.23,2999.56,1661641
2023-01-0128,3000.54,3006.6,2995.58,3001.64,1629871
2023-01-0129,2996.67,3004.03,2987.86,2995.22,1600452
2023-01-0130,2983.13,2991.09,2971.75,2979.71,1573959
2023-01-0131,2964.44,2971.05,2953.19,2959.8,1550911
2023-01-0132,2947.69,2951.34,2939.04,2942.69,1531759
2023-01-0133,2938.27,2938.48,2933.6,2933.81,1516878
2023-01-0134,2936.69,2940.71,2929.59,2933.61,1506558
2023-01-0135,2938.34,2945.18,2930.52,2937.36,1501001
2023-01-0136,2936.45,2946.1,2928.46,2938.11,1500318
2023-01-0137,2926.37,2938.14,2919.19,2930.96,1504519
2023-01-0138,2908.59,2920.77,2903.97,2916.15,1513525
2023-01-0139,2888.63,2899.86,2887.71,2898.94,1527158
2023-01-0140,2873.94,2889.51,2870.94,2886.51,1545151
2023-01-0141,2869.47,2889.83,2863.28,2883.64,1567153
2023-01-0142,2874.96,2897.76,2867.1,2889.9,1592733
2023-01-0143,2885.08,2907.51,2877.47,2899.9,1621390
2023-01-0144,2892.8,2912.12,2887.31,2906.63,1652564
2023-01-0145,2893.68,2907.76,2891.65,2905.73,1685644
2023-01-0146,2888.5,2900.07,2886.57,2898.14,1719984
2023-01-0147,2882.73,2894.95,2877.32,2889.54,1754911
2023-01-0148,2883.06,2894.46,2875.49,2886.89,1789742
2023-01-0149,2893.28,2902.1,2885.4,2894.22,1823795
2023-01-0150,2911.72,2917.98,2903.88,2910.14,1856405
2023-01-0151,2932.14,2935.24,2925.53,2928.63,1886932
2023-01-0152,2947.39,2948.2,2941.9,2942.71,1914779
2023-01-0153,2953.54,2958.07,2944.02,2948.55,1939403
2023-01-0154,2952.21,2959.35,2940.67,2947.81,1960320
2023-01-0155,2949.48,2957.48,2938.5,2946.5,1977121
2023-01-0156,2952.15,2959.05,2944.41,2951.31,1989478
2023-01-0157,2963.64,2969.57,2959.53,2965.46,1997149
2023-01-0158,2981.92,2987.0,2981.6,2986.68,1999984
2023-01-0159,3000.76,3012.04,2997.21,3008.49,1997927
2023-01-0160,3013.61,3030.61,3007.06,3024.06,1991019
2023-01-0161,3017.6,3038.23,3009.65,3030.28,1979394
2023-01-0162,3015.31,3036.94,3007.91,3029.54,1963281
2023-01-0163,3013.27,3033.27,3008.23,3028.23,1942994
2023-01-0164,3017.99,3034.22,3016.55,3032.78,1918930
2023-01-0165,3031.92,3048.18,3029.41,3045.67,1891561
2023-01-0166,3051.96,3069.73,3046.12,3063.89,1861422
2023-01-0167,3071.2,3088.44,3063.45,3080.69,1829103
2023-01-0168,3082.98,3097.39,3075.22,3089.63,1795235
2023-01-0169,3084.77,3094.3,3078.9,3088.43,1760483
2023-01-0170,3079.55,3082.88,3077.01,3080.34,1725525
2023-01-0171,3073.83,3075.24,3070.72,3072.13,1691046
2023-01-0172,3073.55,3078.56,3064.94,3069.95,1657721
2023-01-0173,3080.36,3087.75,3068.25,3075.64,1626202
2023-01-0174,3090.55,3098.5,3077.62,3085.57,1597105
2023-01-0175,3097.22,3103.79,3086.3,3092.87,1571000
2023-01-0176,3094.52,3098.1,3088.06,3091.64,1548397
2023-01-0177,3081.22,3081.5,3080.24,3080.52,1529740
2023-01-0178,3061.62,3067.68,3057.54,3063.6,1515392
2023-01-0179,3043.03,3054.84,3036.15,3047.96,1505636
2023-01-0180,3031.54,3047.42,3023.55,3039.43,1500661
2023-01-0181,3028.54,3046.28,3021.39,3039.13,1500565
2023-01-0182,3030.08,3047.43,3025.52,3042.87,1505350
2023-01-0183,3029.43,3044.57,3028.58,3043.72,1514922
2023-01-0184,3021.38,3039.42,3018.31,3036.35,1529095
2023-01-0185,3005.54,3026.53,2999.3,3020.29,1547590
2023-01-0186,2986.67,3008.22,2978.79,3000.34,1570045
2023-01-0187,2971.89,2991.29,2964.3,2983.7,1596023
2023-01-0188,2966.38,2981.16,2960.94,2975.72,1625013
2023-01-0189,2970.23,2978.67,2968.27,2976.71,1656449
2023-01-0190,2978.35,2983.84,2976.35,2981.84,1689715
2023-01-0191,2983.48,2989.59,2978.01,2984.12,1724161
2023-01-0192,2980.57,2988.17,2971.14,2978.74,1759113
2023-01-0193,2969.71,2977.58,2958.16,2966.03,1793887
2023-01-0194,2956.05,2962.26,2945.08,2951.29,1827801
2023-01-0195,2946.64,2949.68,2938.63,2941.67,1860193
2023-01-0196,2946.1,2946.98,2940.94,2941.82,1890429
2023-01-0197,2953.9,2958.49,2946.54,2951.13,1917917
2023-01-0198,2964.67,2971.84,2956.93,2964.1,1942120
2023-01-0199,2971.56,2981.69,2963.57,2973.7,1962562
2023-01-0200,2970.5,2982.46,2963.64,2975.6,1978846
2023-01-0201,2962.8,2974.9,2958.75,2970.85,1990651
2023-01-0202,2954.4,2965.38,2954.15,2965.13,1997747
2023-01-0203,2952.48,2968.99,2948.86,2965.37,1999995
2023-01-0204,2961.08,2982.03,2954.49,2975.44,1997352
2023-01-0205,2978.8,3001.74,2970.84,2993.78,1989868
2023-01-0206,2999.57,3021.66,2992.2,3014.29,1977690
2023-01-0207,3016.4,3034.96,3011.42,3029.98,1961057
2023-01-0208,3025.42,3038.47,3024.05,3037.1,1940294
2023-01-0209,3028.22,3039.98,3025.65,3037.41,1915808
2023-01-0210,3030.66,3042.86,3024.77,3036.97,1888076
2023-01-0211,3039.09,3050.18,3031.33,3042.42,1857643
2023-01-0212,3056.37,3064.6,3048.63,3056.86,1825104
2023-01-0213,3079.86,3085.68,3072.09,3077.91,1791095
2023-01-0214,3102.78,3105.25,3096.55,3099.02,1756281
2023-01-0215,3118.23,3119.71,3111.95,3113.43,1721345
2023-01-0216,3123.09,3128.16,3113.07,3118.14,1686970
2023-01-0217,3119.91,3127.32,3108.28,3115.69,1653827
2023-01-0218,3115.21,3123.16,3104.59,3112.54,1622567
2023-01-0219,3115.51,3122.04,3108.55,3115.08,1593801
2023-01-0220,3123.44,3129.26,3119.92,3125.74,1568090
2023-01-0221,3136.13,3141.75,3135.78,3141.4,1545940
2023-01-0222,3147.12,3159.47,3142.98,3155.33,1527782
2023-01-0223,3150.3,3168.08,3143.38,3161.16,1513973
2023-01-0224,3143.8,3164.8,3135.8,3156.8,1504783
2023-01-0225,3131.21,3152.74,3124.09,3145.62,1500390
2023-01-0226,3119.5,3138.99,3115.0,3134.49,1500883
2023-01-0227,3114.88,3130.33,3114.1,3129.55,1506249
2023-01-0228,3119.04,3135.67,3115.91,3132.54,1516386
2023-01-0229,3128.21,3146.05,3121.93,3139.77,1531094
2023-01-0230,3135.36,3152.28,3127.47,3144.39,1550085
2023-01-0231,3134.45,3148.16,3126.89,3140.6,1572989
2023-01-0232,3124.04,3132.59,3118.65,3127.2,1599356
2023-01-0233,3108.07,3110.3,3106.18,3108.41,1628671
2023-01-0234,3093.42,3095.48,3089.29,3091.35,1660360
2023-01-0235,3085.65,3091.17,3076.29,3081.81,1693803
2023-01-0236,3085.64,3093.26,3073.19,3080.81,1728346
2023-01-0237,3088.97,3096.83,3076.18,3084.04,1763312
2023-01-0238,3088.76,3094.93,3078.44,3084.61,1798019
2023-01-0239,3079.79,3082.76,3074.26,3077.23,1831785
2023-01-0240,3061.86,3062.81,3060.63,3061.58,1863951
2023-01-0241,3040.07,3047.17,3035.43,3042.53,1893887
2023-01-0242,3021.86,3034.49,3014.66,3027.29,1921008
2023-01-0243,3012.73,3029.09,3004.74,3021.1,1944782
2023-01-0244,3013.11,3030.94,3006.28,3024.11,1964745
2023-01-0245,3018.27,3035.36,3014.28,3031.37,1980506
2023-01-0246,3021.42,3036.07,3021.24,3035.89,1991756
2023-01-0247,3017.89,3036.57,3014.21,3032.89,1998275
2023-01-0248,3008.17,3029.43,3001.54,3022.8,1999936
2023-01-0249,2997.56,3018.94,2989.59,3010.97,1996707
2023-01-0250,2993.05,3011.83,2985.7,3004.48,1988650
2023-01-0251,2998.98,3012.79,2994.05,3007.86,1975923
2023-01-0252,3014.34,3021.62,3013.04,3020.32,1958775
